name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Dominic Thompson,0.0,232247.png,0,0,u,Brentford,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,Transferred to Blackpool,2022-07-25T23:00:04.235293Z,0,82,0.0,0.0,False,0
Keinan Davis,0.0,221239.png,0,586,u,Aston Villa,5.4,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.744996Z,0,177,0.0,0.0,False,0
Anwar El Ghazi,0.0,193488.png,0,2511,u,Aston Villa,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Transferred to PSV Eindhoven,2022-09-01T08:52:22.652805Z,0,368,0.0,0.0,False,0
Diego Carlos Santos Silva,0.0,165659.png,3,5866,i,Aston Villa,4.8,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Achilles injury - Unknown return date,2022-08-13T15:30:06.470124Z,55,"1,018",0.2,1.5,False,0
Tim Iroegbunam,0.0,490094.png,0,1334,u,Aston Villa,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Season-long loan to QPR,2022-09-02T11:07:08.174211Z,0,137,0.0,0.0,False,0
Matty Cash,0.0,199796.png,6,89817,d,Aston Villa,4.6,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Hamstring injury - 25% chance of playing,2022-09-05T02:00:06.074114Z,679,"58,194",4.7,1.0,False,-1
Marvelous Nakamba,0.0,184704.png,0,12447,a,Aston Villa,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,,308,990,0.2,0.0,False,0
Kortney Hause,0.0,123354.png,0,89,u,Aston Villa,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.731214Z,0,56,0.0,0.0,False,0
Morgan Sanson,0.0,122775.png,0,19032,a,Aston Villa,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,,564,"1,414",0.3,0.0,False,0
Robin Olsen,0.0,111782.png,0,29287,a,Aston Villa,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,2022-09-15T13:30:06.128274Z,"1,950","4,494",1.6,0.0,False,0
Bertrand Traoré,0.0,110504.png,0,3136,u,Aston Villa,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Joined Istanbul Basaksehir FK on loan - Expected back 01 Jul,2022-08-22T19:30:06.057056Z,0,370,0.1,0.0,False,0
Calum Chambers,0.0,101184.png,3,5331,a,Aston Villa,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,,266,881,0.2,1.5,False,-1
Lino Sousa,0.0,514315.png,0,585,a,Arsenal,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,585,107,0.0,0.0,False,0
Ethan Nwaneri,0.0,499175.png,1,324,a,Arsenal,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,324,52,0.0,1.0,False,0
Matthew Smith,0.0,232241.png,0,6922,a,Arsenal,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,"1,339",892,0.1,0.0,False,0
Marcus Oliveira Alencar,0.0,479683.png,1,4413,a,Arsenal,4.7,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,365,490,0.1,1.0,False,-1
Matt Turner,0.0,224068.png,0,101286,a,Arsenal,3.9,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,"15,656","7,041",1.6,0.0,False,0
Reiss Nelson,0.0,200641.png,0,242,d,Arsenal,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,Lack of match fitness - 75% chance of playing,2022-08-12T14:00:05.551075Z,10,45,0.0,0.0,False,-1
Lucas Torreira di Pascua,0.0,198849.png,0,2811,u,Arsenal,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,0,484,0.1,0.0,False,0
Pablo Marí Villar,0.0,92371.png,0,162,u,Arsenal,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,0,59,0.0,0.0,False,0
Nuno Varela Tavares,0.0,437626.png,0,0,u,Arsenal,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,0,31,0.0,0.0,False,0
Nicolas Pépé,0.0,195735.png,0,5198,u,Arsenal,5.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,0,423,0.1,0.0,False,0
Rob Holding,0.0,156074.png,2,3536,a,Arsenal,4.2,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,320,502,0.1,1.0,False,-1
Mohamed Elneny,0.0,153256.png,2,108604,i,Arsenal,4.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,Hamstring injury - Unknown return date,2022-08-30T11:30:06.278675Z,"1,893","6,439",0.7,2.0,False,0
Cameron Archer,0.0,433979.png,2,170638,a,Aston Villa,4.3,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,2022-08-30T12:30:06.507496Z,"15,275","31,168",3.2,1.0,False,0
Jaden Philogene-Bidace,0.0,481624.png,0,0,u,Aston Villa,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,Joined Cardiff City on loan - Expected back 01 Jul,2022-07-28T16:30:04.277181Z,0,7,0.0,0.0,False,0
Frédéric Guilbert,0.0,203368.png,0,35641,a,Aston Villa,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,,"1,147","2,928",0.8,0.0,False,0
James Hill,0.0,463981.png,0,895,a,Bournemouth,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,,75,129,0.0,0.0,False,0
Marcus Forss,0.0,216620.png,0,0,u,Brentford,4.5,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,Transferred to Middlesbrough,2022-07-28T16:30:04.354162Z,0,368,0.1,0.0,False,0
Charlie Goode,0.0,213687.png,0,29089,a,Brentford,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,,,"10,855","3,406",0.6,0.0,False,0
Ethan Pinnock,0.0,231065.png,0,154,d,Brentford,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,Lack of match fitness - 75% chance of playing,2022-07-22T23:00:04.442209Z,16,55,0.0,0.0,False,0
Mads Bech Sørensen,0.0,228044.png,3,1768,u,Brentford,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,Season-long loan to Nice,2022-09-02T10:45:40.543006Z,0,331,0.0,1.0,False,0
Mads Roerslev Rasmussen,0.0,226956.png,6,1398,a,Brentford,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,,2022-08-24T16:30:05.907130Z,68,195,0.0,6.0,False,0
Saman Ghoddos,0.0,205836.png,2,1033,a,Brentford,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,,,84,105,0.0,1.0,False,0
Sergi Canós Tenés,0.0,174932.png,0,5035,a,Brentford,5.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,,2022-07-05T15:30:04.130646Z,"2,523",843,0.1,0.0,False,0
Christian Nørgaard,0.0,128295.png,15,24718,i,Brentford,5.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,Achilles injury - Expected back 29 Oct,2022-09-02T11:00:06.696259Z,41,"2,298",0.2,3.8,False,0
Owen Bevan,0.0,518906.png,1,6869,u,Bournemouth,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,Season-long loan to Yeovil Town,2022-09-06T08:38:30.273520Z,0,722,0.1,1.0,False,0
Christian Saydee,0.0,461017.png,0,4958,u,Bournemouth,4.5,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,Season-long loan to Shrewsbury Town,2022-09-02T11:14:05.222430Z,0,247,0.0,0.0,False,0
Joe Rothwell,0.0,156685.png,0,308,d,Bournemouth,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,Thigh injury - 25% chance of playing,2022-07-31T23:30:04.384595Z,24,51,0.0,0.0,False,0
Jan Bednarek,0.0,171771.png,1,3939,a,Aston Villa,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_7-66.webp,No,,2022-09-15T13:30:06.437687Z,174,"1,195",0.3,0.5,False,0
Will Dennis,0.0,444172.png,0,12907,a,Bournemouth,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_91-66.webp,No,,,"1,172","1,792",0.5,0.0,False,0
