name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Liam Delap,0.0,463034.png,0,13802,u,Man city,4.4,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Joined Stoke City on loan - Expected back 01 Jul,2022-08-23T08:30:06.022828Z,0,"1,691",0.2,0.0,False,0
Luke Mbete-Tabu,0.0,439510.png,0,47144,u,Man city,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Season-long loan to Huddersfield Town,2022-08-25T14:30:06.307078Z,0,"1,924",0.2,0.0,False,0
Ben Davies,0.0,152898.png,0,0,u,Liverpool,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Transferred to Rangers - Unknown return date,2022-07-19T23:00:04.398981Z,0,14,0.0,0.0,False,0
James McAtee,0.0,432714.png,0,0,u,Man city,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Season-long loan to Sheffield United,2022-08-04T13:21:06.218126Z,0,10,0.0,0.0,False,0
Zack Steffen,0.0,164484.png,0,0,u,Man city,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Joined Middlesbrough on loan - Expected back 01 Jul,2022-07-19T23:00:04.232428Z,0,82,0.0,0.0,False,0
Aymeric Laporte,0.0,146941.png,0,1698,d,Man city,5.8,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,Lack of match fitness - 75% chance of playing,2022-09-16T15:00:09.357384Z,194,830,0.2,0.0,False,0
Arthur Henrique Ramos de Oliveira Melo,0.0,204043.png,0,7767,a,Liverpool,5.0,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,2022-09-02T21:00:08.016325Z,625,"1,078",0.1,0.0,False,0
Harvey Davies,0.0,464353.png,0,602,a,Liverpool,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,,112,86,0.0,0.0,False,0
Bobby Clark,0.0,491970.png,1,603,a,Liverpool,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,,47,51,0.0,1.0,False,0
Stefan Bajcetic,0.0,535928.png,1,805,a,Liverpool,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,,83,65,0.0,1.0,False,0
Luke Chambers,0.0,462491.png,0,3999,a,Liverpool,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,,317,334,0.1,0.0,False,0
Nathaniel Phillips,0.0,197464.png,2,40890,a,Liverpool,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,,"1,499","1,898",0.4,2.0,False,0
Sepp van den Berg,0.0,444765.png,0,10688,u,Liverpool,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Season-long loan to Schalke 04,2022-08-31T07:21:56.075322Z,0,989,0.2,0.0,False,0
Rodrigo Moreno,0.0,80954.png,38,3112095,a,Leeds,6.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,2022-08-30T22:30:06.483051Z,"34,753","76,057",5.5,7.6,False,0
Adam Forshaw,0.0,80179.png,3,3709,i,Leeds,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,Ankle injury - Unknown return date,2022-09-30T14:00:06.888569Z,124,387,0.1,1.0,False,0
Liam Cooper,0.0,55914.png,0,910,a,Leeds,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,2022-08-27T20:00:06.571665Z,150,139,0.0,0.0,False,0
Stanley Mills,0.0,510328.png,0,2189,a,Everton,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,,162,158,0.0,0.0,False,0
Terence Kongolo,0.0,109434.png,0,16604,u,Fulham,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Season-long loan to Le Havre,2022-09-02T11:01:39.541124Z,0,"2,629",0.4,0.0,False,0
Paulo Gazzaniga Farias,0.0,102884.png,0,17125,u,Fulham,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Season-long loan to Girona,2022-09-02T10:43:49.391716Z,0,"24,752",2.9,0.0,False,0
Joe Bryan,0.0,101105.png,0,485,u,Fulham,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Season-long loan to Nice,2022-09-02T10:50:11.726859Z,0,105,0.0,0.0,False,0
Nathaniel Chalobah,0.0,89085.png,2,8408,a,Fulham,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,2022-07-31T21:30:04.877987Z,440,788,0.1,1.0,False,0
Anthony Knockaert,0.0,83543.png,0,911,a,Fulham,4.7,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,180,168,0.0,0.0,False,-1
Shane Duffy,0.0,61933.png,2,2841,a,Fulham,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,2022-08-30T15:30:06.538527Z,120,774,0.2,1.0,False,0
Eldin Jakupovic,0.0,11974.png,0,709,a,Everton,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,,290,139,0.0,0.0,False,0
Reece Welch,0.0,474907.png,0,2161,a,Everton,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,,450,294,0.0,0.0,False,0
James Garner,0.0,232928.png,0,8683,a,Everton,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,,622,714,0.1,0.0,False,0
Lewis Warrington,0.0,461453.png,0,18771,u,Everton,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Season-long loan to Fleetwood Town,2022-09-02T11:12:09.144589Z,0,783,0.1,0.0,False,0
Rúben Nascimento Vinagre,0.0,216054.png,2,896,a,Everton,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,,88,184,0.1,1.0,False,0
Marek Rodák,0.0,155529.png,7,11432,a,Fulham,4.4,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,533,934,0.2,3.5,False,0
Niels Nkounkou,0.0,495542.png,0,8908,u,Everton,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Season-long loan to Cardiff City,2022-08-29T07:10:42.988896Z,0,"1,607",0.3,0.0,False,0
Jarrad Branthwaite,0.0,480455.png,0,0,u,Everton,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Joined PSV Eindhoven on loan - Expected back 01 Jul,2022-07-17T21:30:04.439165Z,0,46,0.0,0.0,False,0
Ben Godfrey,0.0,198826.png,1,805,i,Everton,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Leg injury - Expected back 12 Nov,2022-08-07T01:30:05.741802Z,17,192,0.0,1.0,False,0
Mason Holgate,0.0,194164.png,12,5223,i,Everton,4.4,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Knee injury - Unknown return date,2022-08-27T20:00:06.539965Z,22,589,0.1,3.0,False,0
Dominic Calvert-Lewin,0.0,177815.png,0,1952,d,Everton,7.9,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Lack of match fitness - 75% chance of playing,2022-08-03T16:30:05.539021Z,202,597,0.2,0.0,False,0
Yerry Mina,0.0,164511.png,1,1189,i,Everton,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Ankle injury - Expected back 09 Oct,2022-08-07T01:30:05.719432Z,22,271,0.1,1.0,False,0
Jean-Philippe Gbamin,0.0,160987.png,0,1426,u,Everton,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Season-long loan to Trabzonspor,2022-08-27T07:45:42.248796Z,0,139,0.0,0.0,False,0
André Tavares Gomes,0.0,120250.png,0,1409,u,Everton,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Season-long loan to Lille,2022-09-02T11:09:03.863819Z,0,539,0.1,0.0,False,0
Allan Marques Loureiro,0.0,119765.png,0,4852,u,Everton,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Trasferred to Al Wahda,2022-09-27T07:53:15.044504Z,243,710,0.1,0.0,False,0
Dele Alli,0.0,108823.png,2,7054,u,Everton,5.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Season-long loan to Besiktas,2022-08-26T07:27:01.424683Z,0,628,0.1,1.0,False,0
Harry Wilson,0.0,153682.png,0,707,i,Fulham,5.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Knee injury - Expected back 13 Nov,2022-07-31T21:30:04.907720Z,73,140,0.0,0.0,False,0
Ivan Neves Abreu Cavaleiro,0.0,166324.png,0,2084,u,Fulham,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Season-long loan to Alanyaspor,2022-09-08T07:17:06.033426Z,0,468,0.0,0.0,False,0
Marc Albrighton,0.0,51938.png,0,3975,a,Leicester,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,200,373,0.1,0.0,False,0
Josh Onomah,0.0,168765.png,0,5398,a,Fulham,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,266,486,0.1,0.0,False,0
Alex Smithies,0.0,45220.png,0,4441,a,Leicester,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,313,254,0.0,0.0,False,0
Dennis Praet,0.0,106837.png,1,614,a,Leicester,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,2022-09-15T14:00:06.679330Z,42,83,0.0,0.5,False,0
Daniel Iversen,0.0,207270.png,0,372163,a,Leicester,3.9,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,"76,800","21,819",4.4,0.0,False,0
Lewis Brunt,0.0,232620.png,0,10562,a,Leicester,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,"2,412","1,142",0.3,0.0,False,-1
Çaglar Söyüncü,0.0,218031.png,0,7688,a,Leicester,4.2,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,796,"1,546",0.3,0.0,False,-1
Hamza Choudhury,0.0,197469.png,0,1196,u,Leicester,4.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,Season-long loan to Watford,2022-08-11T08:48:05.659015Z,0,342,0.1,0.0,False,0
Ayoze Pérez,0.0,168580.png,7,6655,a,Leicester,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,271,746,0.1,3.5,False,-1
Ricardo Barbosa Pereira,0.0,111931.png,0,597,i,Leicester,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,Achilles injury - Expected back 04 Feb,2022-08-01T17:30:04.857035Z,15,198,0.0,0.0,False,0
Jannik Vestergaard,0.0,93100.png,0,279136,a,Leicester,3.9,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,"31,116","29,452",7.0,0.0,False,0
Nampalys Mendy,0.0,86881.png,0,23524,a,Leicester,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,"1,022","2,416",0.5,0.0,False,0
Mateusz Klich,0.0,72222.png,5,3523,a,Leeds,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_2-66.webp,No,,,189,410,0.1,0.8,False,0
Ryan Bertrand,0.0,40146.png,0,2221,i,Leicester,4.0,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,Knee injury - Unknown return date,2022-07-05T15:30:04.221247Z,60,281,0.0,0.0,False,0
Kasper Schmeichel,0.0,17745.png,0,0,u,Leicester,5.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,Transferred to OGC Nice,2022-08-04T06:18:08.594633Z,0,592,0.1,0.0,False,0
Layvin Kurzawa,0.0,89068.png,0,5886,a,Fulham,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,506,998,0.1,0.0,False,0
Terry Ablade,0.0,247664.png,0,14588,a,Fulham,4.5,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,"2,157","1,179",0.1,0.0,False,0
Manor Solomon,0.0,235674.png,1,1081,i,Fulham,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Knee injury - Unknown return date,2022-08-11T14:00:05.714464Z,23,33,0.0,1.0,False,0
Luke Harris,0.0,515024.png,0,3611,a,Fulham,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,340,340,0.0,0.0,False,-1
Tyrese Francois,0.0,432931.png,1,1528,u,Fulham,4.4,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Season-long loan to HNK Gorica,2022-09-06T08:40:03.628918Z,0,223,0.0,1.0,False,0
Issa Diop,0.0,219924.png,1,2899,a,Fulham,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,,,338,533,0.1,0.5,False,0
Jay Stansfield,0.0,490146.png,7,324797,u,Fulham,4.5,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Season-long loan to Exeter City,2022-09-06T08:42:08.988182Z,0,"30,862",1.7,2.3,False,0
Rodrigo Muniz Carvalho,0.0,244042.png,0,3387,u,Fulham,5.4,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_54-66.webp,No,Joined Middlesbrough on loan - Expected back 01 Jul,2022-08-23T08:30:05.885616Z,0,241,0.0,0.0,False,0
Luke Thomas,-0.66,244619.png,-1,2332,a,Leicester,4.3,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,202,416,0.1,-0.5,False,0
Wout Faes,-1.8,218218.png,-1,1638,a,Leicester,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_13-66.webp,No,,,747,285,0.0,-1.0,False,0
